die Kalibrationsphase in der die Funktion | die Kalibrationsphase, in der die Funktion | de/2051_Neuroimplantat
on Earth in the during daytime | on Earth during the daytime | en/2135_Scale
Did I seen plans that weren't meant for me? | Did I see plans that weren't meant for me? | en/2135_Scale
Inside this rocky shall lay a thin layer of soil | Inside this rocky shell lay a thin layer of soil | en/2154_Gemini
exceeding a 10.000 by 2160 | exceeding 10.000 by 2160 | en/2154_Gemini
goes down into history as Team-Zero | goes down in history as Team-Zero | en/2158_SpacePatrol
conviction that that the common good | conviction that the common good | en/2165_Yksityiskohta
some of the measure taken later lead | some of the measures taken later lead | en/2168_Udyama
the markets, were the thieves probably | the markets, where the thieves probably | en/2174_AsteroidHeist
stable to few nanometers | stable to a few nanometers | en/2179_ServizioStazione
utilizing it for fuel and other services | utilizing them for fuel and other services | en/2179_ServizioStazione
and it's prolonging even when | and its prolonging even when | en/2182_EndVenusTerraforming
instead of staying prison cells | instead of staying in prison cells | en/2187_MoonDeportations
accidently detaches | accidentally detaches | en/2187_MoonDeportations
a series of fatal accidents in lunar and asteroid mining underscore | a series of fatal accidents in lunar and asteroid mining underscores | en/2187_MoonDeportations
Governments and corporations often neglecting worker safety | Governments and corporations often neglect worker safety | en/2187_MoonDeportations
would not competitive | would not be competitive | en/2191_100000InSpace
first Neo Socialist manifest, while unknown | first Neo Socialist manifesto, while unknown | en/2192_NeosozTerror
The phase of Neo-Socialists terror began | The phase of Neo-Socialist terror began | en/2192_NeosozTerror
the space patrol, is dispatched to quell the uprising | the space patrol is dispatched to quell the uprising | en/2197_LunarRevolt
There lasers take over the. | There lasers take over. | en/2199_DubaiCosmodrome
can now be seen as new color | can now be seen as a new color | en/2204_TetrachromaticVision
establishing Helios One as major player | establishing Helios One as a major player | en/2205_PalladianLeague
a new v order emerges | a new order emerges | en/2205_PalladianLeague
Shangri-La, founded by the Indus Valley Federation is the only state operated entity | Shangri-La, founded by the Indus Valley Federation, is the only state operated entity | en/2205_PalladianLeague
It would have isolated the compromised, allowing | It would have isolated the compromised area, allowing | en/2209_Decompression
since the resupply phase hast just started | since the resupply phase has just started | en/2222_BeltPirates
from our of point of view | from our point of view | en/2222_BeltPirates
economic warfare and extorsion | economic warfare and extortion | en/2222_BeltPirates
establishing *Prisoners of the Void* as a significant work | establishing *Prisoner of the Void* as a significant work | en/2234_SpaceStationLifeCycle
These self-contained, live-support capsules | These self-contained, life-support capsules | en/2234_SpaceStationLifeCycle
at the earth-moon.  Lagrange points and on the moon surface. | at the earth-moon Lagrange points and on the moon surface. | en/2293_Expansionistuprising
communication hubs in South American. | communication hubs in South America. | en/2303_Space_Trader_Coup
argue that the such hostility | argue that such hostility | en/2321_EarthIsolation
picosecond timescales (a trillionths of a second) | picosecond timescales (a trillionth of a second) | en/2333_MetricImpulse
the success landing was instrumental | the successful landing was instrumental | en/2359_FreeAreaVegas
over a billion people lives in interplanetary space | over a billion people live in interplanetary space | en/2359_FreeAreaVegas
a long standing-problem | a long-standing problem | en/2366_TransorbitalEquilibrium
will become multipolar other human population centers rising | will become multipolar, other human population centers rising | en/2469_Tranquility500
the Cyclists Working Group lead by Nueva Mesilla had created | the Cyclists Working Group led by Nueva Mesilla had created | en/2471_FashionWar
many of whom have mutated over time | many of which have mutated over time | en/2475_AutoimmuneMeme
The main objective, stopping illegal bioroid production was achieved. | The main objective, stopping illegal bioroid production, was achieved. | en/2478_Raid
Many other that later visited the Sol System were of natural origin. | Many others that later visited the Sol System were of natural origin. | en/2493_Oumuamua
at the water festival, were a great many viruses | at the water festival, where a great many viruses | en/2495_MemeVirusConspiracy
a hypothetical planet in Oort cloud that was believed | a hypothetical planet in the Oort cloud that was believed | en/2501_Extraplanetar
Przemek's Day (short of Przemyslaw) | Przemek's Day (short for Przemyslaw) | en/2526_HeroOfTheFederation
learn more about to civilization of Dilan | learn more about the civilization of Dilan | en/2532_OuterSystemWipe
creatures about these it. | creatures about these. | en/2532_OuterSystemWipe
a total 20 humans on Dilan | a total of 20 humans on Dilan | en/2532_OuterSystemWipe
into the depths the asteroid. | into the depths of the asteroid. | en/2532_OuterSystemWipe
Stull, they manage to neutralize | Still, they manage to neutralize | en/2532_OuterSystemWipe
had been made believe that only one asteroid | had been made to believe that only one asteroid | en/2532_OuterSystemWipe
supply chains brake down | supply chains break down | en/2535_TragedyOfCobol
banned by the statues of the Cobol Foundation | banned by the statutes of the Cobol Foundation | en/2535_TragedyOfCobol
cost more 40 lives | cost more than 40 lives | en/2535_TragedyOfCobol
preventing the planet to recover | preventing the planet from recovering | en/2536_Collisioncourse
A long ago the Earth Union | Long ago the Earth Union | en/2557_Vladivostok
There were, and still, are numerous nations | There were, and still are, numerous nations | en/2560_Exotechnology
can be devastatingly enough | can be devastating enough | en/2560_Exotechnology
the authorities of the Sols system | the authorities of the Sol system | en/2574_ArtuDomain
the Earth represent by far the largest part | the Earth represents by far the largest part | en/2574_ArtuDomain
The Eurasia faction of Council in Kolkata | The Eurasia faction of the Council in Kolkata | en/2574_ArtuDomain
disrupts the Artu-Domains's activities | disrupts the Artu-Domain's activities | en/2574_ArtuDomain
group association products, must provide the same protection | group association products must provide the same protection | en/2580_GroupAssociation
reality is checked to filtered out substandard data | reality is checked to filter out substandard data | en/2580_GroupAssociation
Much later it is later revealed that the statistical models were remarkably accurate | Much later it is revealed that the statistical models were remarkably accurate | en/2587_Alienwars
So.     the Artu Domain's desire to remain inconspicuous | So,     the Artu Domain's desire to remain inconspicuous | en/2587_Alienwars
without being ready for the responsibility that come with such power | without being ready for the responsibility that comes with such power | en/2626_AdministrativeProcess
New civilization on the rise, like humankind, probably offer great potential | New civilization on the rise, like humankind, probably offers great potential | en/2630_ChanyakaConspiracy
the research station had to be destroyed in spectacular way | the research station had to be destroyed in a spectacular way | en/2630_ChanyakaConspiracy
They are being mined large automatically, which still incurs some cost. | They are being mined largely automatically, which still incurs some cost. | en/2646_CourtOfTrade
Sol entities, nations states and businesses alike | Sol entities, nation states and businesses alike | en/2646_CourtOfTrade
steer humanity around the dept trap | steer humanity around the debt trap | en/2646_CourtOfTrade
it was Hazama 's idea to file against the solar company | it was Hazama's idea to file against the solar company | en/2646_CourtOfTrade
The scrap value for Bumblebee, is enough to pay | The scrap value for Bumblebee is enough to pay | en/2648_Interia
the Hathrasi of Puraskar knew what they are doing when they supplied Abani | the Hathrasi of Puraskar knew what they were doing when they supplied Abani | en/2648_Interia
Each person is always aware of all other person's activities. | Each person is always aware of all other persons' activities. | en/2648_Interia
They are informed about other's opinions and motives. | They are informed about others' opinions and motives. | en/2648_Interia
the star on the other hands is a blue giant | the star on the other hand is a blue giant | en/2668_UltraMetals
they seem so have always been there | they seem to have always been there | en/2681_AncientRobots
Their mission has been not changed over millions of years | Their mission has not been changed over millions of years | en/2681_AncientRobots
perceive Güdan’ suit as a structural component | perceive Güdan’s suit as a structural component | en/2722_Guedan
In defiance of the leaderships order | In defiance of the leadership's order | en/2725_Gee
more settlements are stablished | more settlements are established | en/2786_Yaris
the Sol System's' information network | the Sol System's information network | en/2844_Centaurus
a user with modern 3D-rig would not spot | a user with a modern 3D-rig would not spot | en/2844_Centaurus
the maintenance accesses have been, but the visitor gate remains open | the maintenance accesses have been closed, but the visitor gate remains open | en/2844_Centaurus
is used to addresses a wide range of libertarians | is used to address a wide range of libertarians | en/2949_QueenMarduk
she is regarded the mother of the constitution | she is regarded as the mother of the constitution | en/2949_QueenMarduk
at the Mars ring that lead to First Vortex Holdings | at the Mars ring that led to First Vortex Holdings | en/2956_FeudalConspiracy
humans dare carrying out secret operations | humans dare to carry out secret operations | en/2956_FeudalConspiracy
human slaves look after of essential infrastructure | human slaves look after essential infrastructure | en/2969_Tranquility1000
There first to come were Leccian hordes | The first to come were Leccian hordes | en/2969_Tranquility1000
for them so see via neuro-implants | for them to see via neuro-implants | en/2969_Tranquility1000
information processing take place on a vastly different time scale | information processing takes place on a vastly different time scale | en/3042_IntelligentGalaxies
expand until the cover the entire envelope | expand until they cover the entire envelope | en/3042_IntelligentGalaxies
The rise and fall of our empires complete evades them. | The rise and fall of our empires completely evades them. | en/3042_IntelligentGalaxies
while the is Solo sleeping | while the Solo is sleeping | en/3050_Solos
Throughout the humans sphere the term Solo | Throughout the human sphere the term Solo | en/3050_Solos
But the genetic structure Chinti biology is more flexible. | But the genetic structure of Chinti biology is more flexible. | en/3061_WarringSwarms
Chinti individuals strive the have the same affiliation | Chinti individuals strive to have the same affiliation | en/3061_WarringSwarms
even brough to life through specialized AI | even brought to life through specialized AI | en/3090_SoloCode
such a well-structured system likely to be essential to maintain order | such a well-structured system is likely to be essential to maintain order | en/3090_SoloCode
The outer system is vast. | The outer system is vast, | en/3110_Fragmentation
who would them reward them | who would then reward them | en/3110_Fragmentation
Terrax defenses being unable to withstand a concentrated attack | Terrax's defenses being unable to withstand a concentrated attack | en/3116_MoonUprising
an ice giant or a brown dwarf can server as a hydrogen source | an ice giant or a brown dwarf can serve as a hydrogen source | en/3131_Ruins
These places hat information systems that could be made working again | These places had information systems that could be made working again | en/3131_Ruins
The he returns as a king. | Then he returns as a king. | en/3131_Ruins
Is not known whether there is a real basis for him saving | It is not known whether there is a real basis for him saving | en/3131_Ruins
have high morals standards like the Kisoran Alturism | have high moral standards like the Kisoran Alturism | en/3131_Ruins
but it is still large enough much that the data cannot be transferred | but it is still large enough that the data cannot be transferred | en/3131_Ruins
Unfortunately. | Unfortunately, | en/3190_ChintiArmageddon
attributed to the Wise Dragon from Kisors Middle Ages. | attributed to the Wise Dragon from Kisor's Middle Ages. | en/3296_Dragonlegends
Allegedly they belonged the so-called Wise Dragon | Allegedly they belonged to the so-called Wise Dragon | en/3296_Dragonlegends
the kinetic bombardment by the RogOzar some 400 ago. | the kinetic bombardment by the RogOzar some 400 years ago. | en/3296_Dragonlegends
They confirmed that city of Tis La Nat had really existed | They confirmed that the city of Tis La Nat had really existed | en/3296_Dragonlegends
On the top there is IO matrix of millions of signal threads. | On the top there is an IO matrix of millions of signal threads. | en/3296_Dragonlegends
His activity shift from physical feats to magical abilities. | His activity shifts from physical feats to magical abilities. | en/3296_Dragonlegends
Later stories even focus primarily about his wisdom and diplomacy. | Later stories even focus primarily on his wisdom and diplomacy. | en/3296_Dragonlegends
a defensive alliance of star systems populated by human. | a defensive alliance of star systems populated by humans. | en/3296_Dragonlegends
For Reshumana and humanity in general this one more step towards the establishment of imperial structures. | For Reshumana and humanity in general this is one more step towards the establishment of imperial structures. | en/3296_Dragonlegends
alongside other topic like | alongside other topics like | en/3353_ControversyGate
the development of in AI-based association | the development of AI-based association | en/3353_ControversyGate
and thus from entrance area. | and thus from the entrance area. | en/3353_ControversyGate
Following a period Kisoran weakness, the illustrious Golden Empire | Following a period of Kisoran weakness, the illustrious Golden Empire | en/3361_FirstHumanity
in North Africa around 11,300 BCE Initial contact involved | in North Africa around 11,300 BCE. Initial contact involved | en/3361_FirstHumanity
in human enclaves in alien systems, on even on Kisor itself. | in human enclaves in alien systems, or even on Kisor itself. | en/3361_FirstHumanity
the rudiments of farming and animal rearing war arduous enough | the rudiments of farming and animal rearing was arduous enough | en/3361_FirstHumanity
They need ramp up the | They need to ramp up the | en/3361_FirstHumanity
many veterans from the Empire’ services. | many veterans from the Empire’s services. | en/3361_FirstHumanity
who indeed look reptilians. | who indeed look like reptilians. | en/3361_FirstHumanity
This gives a boost to all technical field. | This gives a boost to all technical fields. | en/3365_QuantumContinuum
produces everything people need in daily life intelligent matter can take any desired form | produces everything people need in daily life, intelligent matter can take any desired form | en/3365_QuantumContinuum
